accuracy,precision,recall,f1_score,scenario,dataset,fold,seed,window_size,alphabet_size,order,base_order,anomaly_threshold,smoothing_alpha,ensemble_enabled,ensemble_orders,ensemble_weights,ensemble_aggregation,ensemble_name,decision_mode,score_threshold,auto_score_percentile,score_window,max_mapping_distance,num_states,vocab_size,num_transitions,transition_density
0.9512195121951219,0.36363636363636365,0.5714285714285714,0.4444444444444444,original,BATADAL,single,42,4,3,3,3,0.05,0.1,False,[3],,mean,batadal_final_ensemble,avg_negative_log,3.912,,5,,366,65,553,0.023245060949978982
0.9560975609756097,0.4,0.5714285714285714,0.47058823529411764,gaussian_noise,BATADAL,single,42,4,3,3,3,0.05,0.1,False,[3],,mean,batadal_final_ensemble,avg_negative_log,3.912,,5,,366,65,553,0.023245060949978982
0.8125,0.25,1.0,0.4,unseen_data,BATADAL,single,42,4,3,3,3,0.05,0.1,False,[3],,mean,batadal_final_ensemble,avg_negative_log,3.912,,5,,366,65,553,0.023245060949978982
0.9512195121951219,0.36363636363636365,0.5714285714285714,0.4444444444444444,original,BATADAL,single,123,4,3,3,3,0.05,0.1,False,[3],,mean,batadal_final_ensemble,avg_negative_log,3.912,,5,,366,65,553,0.023245060949978982
0.926829268292683,0.1,0.14285714285714285,0.11764705882352941,gaussian_noise,BATADAL,single,123,4,3,3,3,0.05,0.1,False,[3],,mean,batadal_final_ensemble,avg_negative_log,3.912,,5,,366,65,553,0.023245060949978982
0.8125,0.25,1.0,0.4,unseen_data,BATADAL,single,123,4,3,3,3,0.05,0.1,False,[3],,mean,batadal_final_ensemble,avg_negative_log,3.912,,5,,366,65,553,0.023245060949978982
0.9512195121951219,0.36363636363636365,0.5714285714285714,0.4444444444444444,original,BATADAL,single,2026,4,3,3,3,0.05,0.1,False,[3],,mean,batadal_final_ensemble,avg_negative_log,3.912,,5,,366,65,553,0.023245060949978982
0.9463414634146341,0.3333333333333333,0.5714285714285714,0.42105263157894735,gaussian_noise,BATADAL,single,2026,4,3,3,3,0.05,0.1,False,[3],,mean,batadal_final_ensemble,avg_negative_log,3.912,,5,,366,65,553,0.023245060949978982
0.8125,0.25,1.0,0.4,unseen_data,BATADAL,single,2026,4,3,3,3,0.05,0.1,False,[3],,mean,batadal_final_ensemble,avg_negative_log,3.912,,5,,366,65,553,0.023245060949978982
0.9512195121951219,0.36363636363636365,0.5714285714285714,0.4444444444444444,original,BATADAL,single,7,4,3,3,3,0.05,0.1,False,[3],,mean,batadal_final_ensemble,avg_negative_log,3.912,,5,,366,65,553,0.023245060949978982
0.9512195121951219,0.36363636363636365,0.5714285714285714,0.4444444444444444,gaussian_noise,BATADAL,single,7,4,3,3,3,0.05,0.1,False,[3],,mean,batadal_final_ensemble,avg_negative_log,3.912,,5,,366,65,553,0.023245060949978982
0.8125,0.25,1.0,0.4,unseen_data,BATADAL,single,7,4,3,3,3,0.05,0.1,False,[3],,mean,batadal_final_ensemble,avg_negative_log,3.912,,5,,366,65,553,0.023245060949978982
0.9512195121951219,0.36363636363636365,0.5714285714285714,0.4444444444444444,original,BATADAL,single,999,4,3,3,3,0.05,0.1,False,[3],,mean,batadal_final_ensemble,avg_negative_log,3.912,,5,,366,65,553,0.023245060949978982
